MOVE,-501,756
MOVE,-7263,308
MOVE,9399,457
MOVE,3885,494
MOVE,7369,483
MOVE,-5731,671
MOVE,-3709,436
MOVE,4567,307
MOVE,-2757,617
MOVE,4910,761
MOVE,-9189,354
MOVE,-7190,663
MOVE,6326,515
MOVE,-9359,562
MOVE,4132,483
MOVE,-8115,405
MOVE,-8843,601
MOVE,2094,636
MOVE,-4367,617
MOVE,-2921,797
MOVE,1887,589
MOVE,2081,795
MOVE,8744,444
MOVE,301,593
MOVE,-7191,716
MOVE,5534,390
MOVE,5829,602
MOVE,4662,645
MOVE,-4640,393
MOVE,-4150,573
MOVE,597,644
MOVE,7041,400
MOVE,9080,358
MOVE,-7303,350
MOVE,3963,319
MOVE,8612,441
MOVE,8770,443
MOVE,9331,469
MOVE,-6427,489
MOVE,-547,577
MOVE,-13,758
MOVE,4900,581
MOVE,-2847,432
MOVE,-5101,354
MOVE,-6088,662
MOVE,6155,421
MOVE,756,579
MOVE,-5333,770
MOVE,9421,351
MOVE,2551,385
MOVE,4723,799
MOVE,-8894,328
MOVE,3638,501
MOVE,-9235,383
MOVE,-2607,651
MOVE,-9583,798
MOVE,-2719,712
MOVE,-8137,575
MOVE,4584,683
MOVE,-6959,477
MOVE,-9477,798
MOVE,2353,551
MOVE,-3666,318
MOVE,-7514,435
MOVE,5268,580
MOVE,-3557,686
MOVE,5040,786
MOVE,-313,410
MOVE,-6997,352
MOVE,8230,570
MOVE,-4440,653
MOVE,7814,585
MOVE,-2181,429
MOVE,-6723,515
MOVE,-4596,761
MOVE,-9615,527
MOVE,1232,636
MOVE,3580,716
MOVE,-4591,758
MOVE,3520,335
MOVE,-2188,579
MOVE,-326,517
MOVE,3422,453
MOVE,8254,612
MOVE,8020,326
MOVE,-666,355
MOVE,-9171,623
MOVE,-5439,470
MOVE,8328,673
MOVE,4105,427
MOVE,-4583,787
MOVE,-7426,472
MOVE,8416,652
MOVE,7754,358
MOVE,-2297,754
MOVE,8377,790
MOVE,5424,709
MOVE,4732,667
MOVE,-1084,302
MOVE,1081,493
